00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00,Date
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2022-03-01
9 °c,8 °c,8 °c,10 °c,13 °c,17 °c,15 °c,10 °c,2022-03-02
8 °c,8 °c,8 °c,12 °c,16 °c,18 °c,15 °c,13 °c,2022-03-03
13 °c,12 °c,12 °c,13 °c,15 °c,16 °c,15 °c,11 °c,2022-03-04
11 °c,11 °c,10 °c,13 °c,16 °c,17 °c,12 °c,7 °c,2022-03-05
7 °c,7 °c,6 °c,9 °c,9 °c,9 °c,7 °c,6 °c,2022-03-06
6 °c,6 °c,6 °c,6 °c,8 °c,10 °c,10 °c,6 °c,2022-03-07
5 °c,3 °c,4 °c,11 °c,16 °c,21 °c,16 °c,10 °c,2022-03-08
7 °c,6 °c,5 °c,13 °c,18 °c,20 °c,17 °c,12 °c,2022-03-09
10 °c,9 °c,8 °c,15 °c,19 °c,23 °c,20 °c,14 °c,2022-03-10
13 °c,13 °c,12 °c,18 °c,23 °c,25 °c,20 °c,17 °c,2022-03-11
15 °c,14 °c,14 °c,19 °c,24 °c,28 °c,22 °c,19 °c,2022-03-12
17 °c,18 °c,17 °c,19 °c,23 °c,26 °c,23 °c,20 °c,2022-03-13
17 °c,17 °c,16 °c,22 °c,26 °c,27 °c,23 °c,16 °c,2022-03-14
16 °c,13 °c,13 °c,14 °c,20 °c,25 °c,21 °c,18 °c,2022-03-15
17 °c,15 °c,14 °c,22 °c,25 °c,28 °c,24 °c,20 °c,2022-03-16
19 °c,19 °c,18 °c,19 °c,20 °c,21 °c,15 °c,13 °c,2022-03-17
11 °c,10 °c,9 °c,9 °c,11 °c,14 °c,12 °c,10 °c,2022-03-18
11 °c,10 °c,9 °c,14 °c,14 °c,15 °c,13 °c,9 °c,2022-03-19
9 °c,8 °c,8 °c,9 °c,10 °c,10 °c,10 °c,10 °c,2022-03-20
10 °c,10 °c,10 °c,11 °c,10 °c,10 °c,9 °c,8 °c,2022-03-21
9 °c,9 °c,9 °c,8 °c,8 °c,8 °c,8 °c,7 °c,2022-03-22
7 °c,7 °c,7 °c,7 °c,11 °c,12 °c,11 °c,9 °c,2022-03-23
7 °c,7 °c,5 °c,12 °c,18 °c,21 °c,18 °c,14 °c,2022-03-24
14 °c,14 °c,15 °c,16 °c,19 °c,20 °c,19 °c,18 °c,2022-03-25
16 °c,15 °c,13 °c,13 °c,14 °c,15 °c,14 °c,13 °c,2022-03-26
12 °c,11 °c,10 °c,15 °c,17 °c,17 °c,15 °c,11 °c,2022-03-27
10 °c,9 °c,8 °c,11 °c,13 °c,14 °c,12 °c,10 °c,2022-03-28
8 °c,7 °c,7 °c,13 °c,18 °c,21 °c,18 °c,15 °c,2022-03-29
12 °c,11 °c,11 °c,18 °c,19 °c,22 °c,18 °c,17 °c,2022-03-30
15 °c,13 °c,13 °c,13 °c,13 °c,13 °c,12 °c,11 °c,2022-03-31
10 °c,9 °c,8 °c,10 °c,12 °c,13 °c,12 °c,9 °c,2022-04-01
8 °c,7 °c,6 °c,11 °c,12 °c,14 °c,12 °c,9 °c,2022-04-02
8 °c,7 °c,6 °c,12 °c,15 °c,18 °c,12 °c,9 °c,2022-04-03
7 °c,6 °c,6 °c,13 °c,16 °c,19 °c,14 °c,13 °c,2022-04-04
10 °c,9 °c,10 °c,14 °c,17 °c,18 °c,16 °c,13 °c,2022-04-05
11 °c,10 °c,9 °c,18 °c,22 °c,23 °c,21 °c,15 °c,2022-04-06
14 °c,12 °c,11 °c,20 °c,23 °c,25 °c,22 °c,17 °c,2022-04-07
14 °c,12 °c,12 °c,21 °c,25 °c,29 °c,23 °c,17 °c,2022-04-08
16 °c,14 °c,13 °c,21 °c,26 °c,29 °c,23 °c,18 °c,2022-04-09
16 °c,15 °c,14 °c,22 °c,27 °c,30 °c,26 °c,20 °c,2022-04-10
19 °c,17 °c,17 °c,24 °c,29 °c,32 °c,26 °c,22 °c,2022-04-11
19 °c,18 °c,19 °c,27 °c,30 °c,30 °c,27 °c,23 °c,2022-04-12
21 °c,18 °c,17 °c,16 °c,16 °c,16 °c,15 °c,15 °c,2022-04-13
13 °c,13 °c,13 °c,14 °c,14 °c,15 °c,15 °c,15 °c,2022-04-14
14 °c,14 °c,13 °c,13 °c,14 °c,15 °c,14 °c,13 °c,2022-04-15
12 °c,12 °c,10 °c,14 °c,15 °c,15 °c,15 °c,12 °c,2022-04-16
10 °c,9 °c,9 °c,15 °c,16 °c,17 °c,15 °c,13 °c,2022-04-17
12 °c,12 °c,12 °c,12 °c,14 °c,18 °c,16 °c,15 °c,2022-04-18
11 °c,11 °c,11 °c,18 °c,20 °c,22 °c,19 °c,15 °c,2022-04-19
14 °c,13 °c,12 °c,21 °c,23 °c,26 °c,20 °c,18 °c,2022-04-20
16 °c,15 °c,14 °c,20 °c,23 °c,25 °c,23 °c,19 °c,2022-04-21
17 °c,17 °c,17 °c,22 °c,26 °c,28 °c,24 °c,21 °c,2022-04-24
20 °c,19 °c,19 °c,26 °c,30 °c,32 °c,29 °c,25 °c,2022-04-25
23 °c,22 °c,22 °c,23 °c,22 °c,21 °c,20 °c,19 °c,2022-04-26
18 °c,16 °c,15 °c,18 °c,21 °c,20 °c,16 °c,15 °c,2022-04-27
14 °c,13 °c,13 °c,18 °c,20 °c,21 °c,19 °c,16 °c,2022-04-28
17 °c,15 °c,14 °c,14 °c,15 °c,16 °c,15 °c,14 °c,2022-04-29
13 °c,13 °c,13 °c,15 °c,15 °c,14 °c,14 °c,13 °c,2022-04-30
13 °c,12 °c,12 °c,17 °c,18 °c,20 °c,17 °c,15 °c,2022-05-01
14 °c,12 °c,12 °c,19 °c,22 °c,25 °c,21 °c,17 °c,2022-05-02
15 °c,14 °c,13 °c,21 °c,25 °c,27 °c,22 °c,18 °c,2022-05-03
16 °c,14 °c,12 °c,21 °c,25 °c,28 °c,23 °c,18 °c,2022-05-04
16 °c,14 °c,13 °c,22 °c,27 °c,29 °c,24 °c,19 °c,2022-05-05
17 °c,16 °c,15 °c,23 °c,28 °c,31 °c,25 °c,21 °c,2022-05-06
20 °c,19 °c,18 °c,24 °c,27 °c,27 °c,23 °c,19 °c,2022-05-07
18 °c,18 °c,18 °c,19 °c,22 °c,25 °c,22 °c,18 °c,2022-05-08
16 °c,16 °c,16 °c,18 °c,21 °c,21 °c,19 °c,18 °c,2022-05-09
16 °c,16 °c,16 °c,19 °c,21 °c,21 °c,20 °c,19 °c,2022-05-10
17 °c,16 °c,17 °c,20 °c,22 °c,22 °c,20 °c,19 °c,2022-05-11
16 °c,16 °c,17 °c,18 °c,19 °c,21 °c,19 °c,18 °c,2022-05-12
18 °c,18 °c,17 °c,17 °c,17 °c,16 °c,16 °c,16 °c,2022-05-13
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2022-05-14
15 °c,13 °c,13 °c,14 °c,16 °c,19 °c,17 °c,14 °c,2022-05-15
13 °c,13 °c,12 °c,18 °c,23 °c,25 °c,23 °c,17 °c,2022-05-16
15 °c,13 °c,13 °c,21 °c,25 °c,28 °c,24 °c,18 °c,2022-05-17
16 °c,15 °c,14 °c,21 °c,24 °c,26 °c,22 °c,18 °c,2022-05-18
17 °c,16 °c,16 °c,21 °c,22 °c,22 °c,21 °c,19 °c,2022-05-19
18 °c,17 °c,17 °c,17 °c,18 °c,18 °c,17 °c,17 °c,2022-05-20
17 °c,17 °c,17 °c,20 °c,22 °c,25 °c,22 °c,17 °c,2022-05-21
17 °c,16 °c,17 °c,23 °c,27 °c,29 °c,24 °c,21 °c,2022-05-22
19 °c,17 °c,18 °c,22 °c,24 °c,26 °c,23 °c,19 °c,2022-05-23
18 °c,18 °c,18 °c,20 °c,22 °c,23 °c,22 °c,19 °c,2022-05-24
18 °c,17 °c,18 °c,24 °c,27 °c,29 °c,24 °c,21 °c,2022-05-25
21 °c,20 °c,20 °c,22 °c,24 °c,26 °c,22 °c,21 °c,2022-05-26
19 °c,18 °c,18 °c,24 °c,28 °c,30 °c,25 °c,23 °c,2022-05-27
21 °c,21 °c,20 °c,20 °c,21 °c,20 °c,20 °c,18 °c,2022-05-28
18 °c,19 °c,19 °c,21 °c,23 °c,25 °c,24 °c,23 °c,2022-05-29
22 °c,22 °c,22 °c,26 °c,27 °c,26 °c,24 °c,21 °c,2022-05-30
21 °c,20 °c,21 °c,23 °c,28 °c,29 °c,26 °c,24 °c,2022-05-31
22 °c,22 °c,22 °c,25 °c,26 °c,28 °c,26 °c,24 °c,2022-06-01
22 °c,22 °c,23 °c,27 °c,30 °c,29 °c,28 °c,25 °c,2022-06-02
21 °c,20 °c,21 °c,28 °c,29 °c,29 °c,28 °c,24 °c,2022-06-03
23 °c,23 °c,23 °c,27 °c,29 °c,29 °c,26 °c,25 °c,2022-06-04
24 °c,24 °c,23 °c,25 °c,26 °c,25 °c,24 °c,23 °c,2022-06-05
23 °c,22 °c,22 °c,25 °c,30 °c,33 °c,30 °c,26 °c,2022-06-06
23 °c,22 °c,22 °c,26 °c,29 °c,30 °c,26 °c,22 °c,2022-06-07
20 °c,19 °c,19 °c,25 °c,27 °c,28 °c,26 °c,22 °c,2022-06-08
20 °c,20 °c,20 °c,26 °c,30 °c,32 °c,28 °c,23 °c,2022-06-09
21 °c,20 °c,19 °c,20 °c,22 °c,20 °c,19 °c,19 °c,2022-06-10
19 °c,19 °c,19 °c,20 °c,22 °c,22 °c,21 °c,20 °c,2022-06-11
19 °c,18 °c,19 °c,23 °c,23 °c,22 °c,21 °c,21 °c,2022-06-12
20 °c,20 °c,20 °c,20 °c,20 °c,22 °c,22 °c,20 °c,2022-06-13
21 °c,20 °c,20 °c,26 °c,30 °c,33 °c,29 °c,24 °c,2022-06-15
23 °c,22 °c,22 °c,29 °c,32 °c,34 °c,30 °c,25 °c,2022-06-16
24 °c,23 °c,23 °c,28 °c,30 °c,33 °c,28 °c,25 °c,2022-06-17
23 °c,22 °c,22 °c,28 °c,32 °c,34 °c,29 °c,25 °c,2022-06-18
24 °c,23 °c,23 °c,27 °c,29 °c,31 °c,28 °c,26 °c,2022-06-19
22 °c,22 °c,23 °c,26 °c,27 °c,29 °c,29 °c,25 °c,2022-06-20
22 °c,22 °c,23 °c,29 °c,30 °c,31 °c,30 °c,26 °c,2022-06-21
25 °c,24 °c,24 °c,29 °c,30 °c,34 °c,30 °c,27 °c,2022-06-22
25 °c,25 °c,25 °c,28 °c,31 °c,34 °c,31 °c,28 °c,2022-06-23
27 °c,27 °c,27 °c,32 °c,34 °c,34 °c,27 °c,26 °c,2022-06-24
26 °c,25 °c,25 °c,28 °c,31 °c,33 °c,30 °c,26 °c,2022-06-25
26 °c,26 °c,26 °c,31 °c,35 °c,36 °c,33 °c,28 °c,2022-06-26
27 °c,27 °c,27 °c,29 °c,33 °c,35 °c,31 °c,28 °c,2022-06-27
27 °c,27 °c,27 °c,32 °c,33 °c,35 °c,32 °c,29 °c,2022-06-28
28 °c,27 °c,26 °c,31 °c,34 °c,35 °c,29 °c,26 °c,2022-06-29
27 °c,25 °c,25 °c,30 °c,31 °c,32 °c,29 °c,27 °c,2022-06-30
26 °c,25 °c,25 °c,29 °c,31 °c,33 °c,30 °c,26 °c,2022-07-01
24 °c,23 °c,24 °c,30 °c,30 °c,30 °c,29 °c,26 °c,2022-07-02
24 °c,23 °c,24 °c,29 °c,30 °c,31 °c,30 °c,27 °c,2022-07-03
25 °c,25 °c,25 °c,30 °c,32 °c,33 °c,30 °c,28 °c,2022-07-04
26 °c,26 °c,26 °c,30 °c,33 °c,34 °c,31 °c,29 °c,2022-07-05
28 °c,28 °c,27 °c,33 °c,34 °c,35 °c,32 °c,29 °c,2022-07-06
28 °c,27 °c,26 °c,32 °c,34 °c,37 °c,33 °c,29 °c,2022-07-07
27 °c,27 °c,26 °c,32 °c,34 °c,35 °c,31 °c,30 °c,2022-07-08
28 °c,27 °c,27 °c,34 °c,36 °c,38 °c,34 °c,29 °c,2022-07-10
28 °c,28 °c,27 °c,33 °c,36 °c,36 °c,35 °c,31 °c,2022-07-11
29 °c,29 °c,28 °c,35 °c,38 °c,40 °c,35 °c,32 °c,2022-07-12
30 °c,29 °c,29 °c,33 °c,38 °c,41 °c,37 °c,33 °c,2022-07-13
32 °c,29 °c,29 °c,35 °c,36 °c,36 °c,34 °c,31 °c,2022-07-15
29 °c,30 °c,29 °c,34 °c,35 °c,36 °c,34 °c,31 °c,2022-07-16
29 °c,28 °c,28 °c,35 °c,36 °c,37 °c,32 °c,29 °c,2022-07-17
28 °c,27 °c,28 °c,31 °c,32 °c,34 °c,31 °c,28 °c,2022-07-18
26 °c,26 °c,26 °c,29 °c,32 °c,33 °c,31 °c,28 °c,2022-07-19
27 °c,27 °c,27 °c,30 °c,34 °c,36 °c,33 °c,30 °c,2022-07-20
29 °c,28 °c,28 °c,32 °c,35 °c,39 °c,33 °c,29 °c,2022-07-21
27 °c,26 °c,26 °c,31 °c,35 °c,37 °c,34 °c,30 °c,2022-07-22
29 °c,28 °c,28 °c,35 °c,38 °c,40 °c,35 °c,30 °c,2022-07-23
28 °c,27 °c,26 °c,31 °c,32 °c,34 °c,30 °c,28 °c,2022-07-24
27 °c,25 °c,27 °c,33 °c,35 °c,37 °c,32 °c,29 °c,2022-07-25
28 °c,27 °c,26 °c,33 °c,37 °c,40 °c,31 °c,29 °c,2022-07-26
28 °c,27 °c,26 °c,33 °c,37 °c,40 °c,33 °c,28 °c,2022-07-27
28 °c,27 °c,27 °c,33 °c,35 °c,38 °c,30 °c,27 °c,2022-07-28
26 °c,25 °c,25 °c,31 °c,35 °c,35 °c,33 °c,29 °c,2022-07-29
26 °c,25 °c,26 °c,31 °c,33 °c,33 °c,30 °c,27 °c,2022-07-30
26 °c,26 °c,26 °c,30 °c,32 °c,32 °c,30 °c,28 °c,2022-07-31
28 °c,27 °c,27 °c,32 °c,33 °c,35 °c,32 °c,30 °c,2022-08-01
28 °c,27 °c,26 °c,33 °c,33 °c,33 °c,32 °c,29 °c,2022-08-02
28 °c,27 °c,27 °c,33 °c,36 °c,38 °c,34 °c,31 °c,2022-08-03
28 °c,28 °c,27 °c,32 °c,36 °c,38 °c,34 °c,31 °c,2022-08-04
29 °c,28 °c,27 °c,34 °c,37 °c,41 °c,37 °c,32 °c,2022-08-05
30 °c,29 °c,29 °c,35 °c,36 °c,36 °c,31 °c,28 °c,2022-08-06
27 °c,26 °c,26 °c,32 °c,36 °c,40 °c,35 °c,32 °c,2022-08-07
29 °c,28 °c,27 °c,33 °c,37 °c,40 °c,36 °c,30 °c,2022-08-08
29 °c,27 °c,27 °c,33 °c,38 °c,41 °c,37 °c,32 °c,2022-08-09
30 °c,29 °c,28 °c,35 °c,38 °c,40 °c,36 °c,32 °c,2022-08-12
29 °c,28 °c,28 °c,35 °c,39 °c,40 °c,37 °c,32 °c,2022-08-13
30 °c,29 °c,29 °c,34 °c,39 °c,43 °c,38 °c,33 °c,2022-08-14
30 °c,29 °c,28 °c,34 °c,38 °c,40 °c,38 °c,33 °c,2022-08-15
31 °c,30 °c,29 °c,35 °c,39 °c,41 °c,34 °c,31 °c,2022-08-16
30 °c,29 °c,29 °c,32 °c,36 °c,37 °c,35 °c,31 °c,2022-08-17
29 °c,28 °c,27 °c,33 °c,37 °c,39 °c,36 °c,33 °c,2022-08-18
30 °c,29 °c,28 °c,33 °c,38 °c,42 °c,37 °c,34 °c,2022-08-19
32 °c,31 °c,30 °c,35 °c,38 °c,38 °c,32 °c,30 °c,2022-08-20
30 °c,29 °c,28 °c,33 °c,36 °c,39 °c,34 °c,31 °c,2022-08-21
30 °c,28 °c,29 °c,36 °c,39 °c,42 °c,38 °c,34 °c,2022-08-22
32 °c,30 °c,29 °c,35 °c,39 °c,41 °c,34 °c,32 °c,2022-08-23
28 °c,28 °c,27 °c,27 °c,30 °c,33 °c,29 °c,27 °c,2022-08-24
26 °c,26 °c,26 °c,33 °c,35 °c,36 °c,33 °c,30 °c,2022-08-25
28 °c,27 °c,27 °c,30 °c,29 °c,29 °c,29 °c,27 °c,2022-08-26
26 °c,26 °c,25 °c,27 °c,28 °c,27 °c,25 °c,25 °c,2022-08-27
25 °c,24 °c,24 °c,26 °c,27 °c,29 °c,27 °c,25 °c,2022-08-28
24 °c,24 °c,24 °c,28 °c,32 °c,33 °c,31 °c,28 °c,2022-08-29
27 °c,26 °c,26 °c,30 °c,31 °c,29 °c,27 °c,26 °c,2022-08-30
24 °c,24 °c,24 °c,24 °c,24 °c,24 °c,23 °c,22 °c,2022-08-31
22 °c,21 °c,21 °c,25 °c,27 °c,30 °c,27 °c,23 °c,2022-09-01
22 °c,22 °c,22 °c,23 °c,24 °c,24 °c,23 °c,22 °c,2022-09-02
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2022-09-04
24 °c,23 °c,23 °c,22 °c,24 °c,26 °c,25 °c,23 °c,2022-09-05
20 °c,20 °c,20 °c,24 °c,28 °c,32 °c,27 °c,23 °c,2022-09-06
20 °c,19 °c,19 °c,27 °c,31 °c,35 °c,28 °c,24 °c,2022-09-07
23 °c,23 °c,22 °c,27 °c,29 °c,32 °c,27 °c,23 °c,2022-09-08
22 °c,21 °c,21 °c,26 °c,28 °c,29 °c,24 °c,21 °c,2022-09-09
19 °c,20 °c,19 °c,25 °c,28 °c,30 °c,26 °c,22 °c,2022-09-10
21 °c,20 °c,21 °c,25 °c,27 °c,29 °c,25 °c,23 °c,2022-09-11
22 °c,21 °c,21 °c,25 °c,27 °c,26 °c,25 °c,23 °c,2022-09-12
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2022-09-13
22 °c,22 °c,22 °c,23 °c,22 °c,22 °c,22 °c,22 °c,2022-09-14
21 °c,21 °c,21 °c,23 °c,25 °c,26 °c,24 °c,22 °c,2022-09-15
21 °c,20 °c,20 °c,26 °c,28 °c,30 °c,25 °c,23 °c,2022-09-16
22 °c,21 °c,21 °c,27 °c,29 °c,30 °c,26 °c,24 °c,2022-09-17
23 °c,22 °c,22 °c,25 °c,26 °c,28 °c,25 °c,23 °c,2022-09-18
22 °c,21 °c,20 °c,24 °c,27 °c,28 °c,26 °c,20 °c,2022-09-19
18 °c,17 °c,17 °c,21 °c,23 °c,25 °c,21 °c,19 °c,2022-09-20
19 °c,18 °c,18 °c,20 °c,22 °c,21 °c,20 °c,20 °c,2022-09-21
19 °c,18 °c,17 °c,23 °c,25 °c,28 °c,24 °c,21 °c,2022-09-22
20 °c,19 °c,19 °c,21 °c,23 °c,24 °c,20 °c,18 °c,2022-09-24
17 °c,17 °c,16 °c,22 °c,24 °c,26 °c,21 °c,19 °c,2022-09-25
19 °c,18 °c,18 °c,23 °c,25 °c,26 °c,23 °c,21 °c,2022-09-26
20 °c,19 °c,19 °c,24 °c,25 °c,26 °c,22 °c,21 °c,2022-09-27
21 °c,20 °c,20 °c,25 °c,25 °c,26 °c,24 °c,23 °c,2022-09-28
22 °c,21 °c,21 °c,23 °c,24 °c,25 °c,24 °c,23 °c,2022-09-29
21 °c,21 °c,21 °c,26 °c,29 °c,33 °c,27 °c,25 °c,2022-09-30
24 °c,23 °c,23 °c,29 °c,33 °c,35 °c,30 °c,27 °c,2022-10-01
25 °c,23 °c,22 °c,29 °c,33 °c,37 °c,30 °c,27 °c,2022-10-02
25 °c,25 °c,25 °c,30 °c,34 °c,38 °c,32 °c,28 °c,2022-10-03
27 °c,26 °c,24 °c,24 °c,23 °c,22 °c,20 °c,18 °c,2022-10-04
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2022-10-05
19 °c,19 °c,17 °c,18 °c,19 °c,19 °c,17 °c,17 °c,2022-10-06
16 °c,15 °c,15 °c,15 °c,15 °c,15 °c,15 °c,15 °c,2022-10-07
15 °c,15 °c,15 °c,15 °c,16 °c,16 °c,16 °c,16 °c,2022-10-08
16 °c,16 °c,16 °c,16 °c,16 °c,18 °c,17 °c,16 °c,2022-10-09
14 °c,12 °c,11 °c,15 °c,18 °c,19 °c,15 °c,12 °c,2022-10-10
10 °c,10 °c,9 °c,15 °c,16 °c,18 °c,16 °c,15 °c,2022-10-11
14 °c,14 °c,14 °c,16 °c,18 °c,20 °c,18 °c,15 °c,2022-10-12
13 °c,13 °c,12 °c,16 °c,20 °c,21 °c,18 °c,19 °c,2022-10-13
17 °c,16 °c,15 °c,19 °c,20 °c,21 °c,18 °c,18 °c,2022-10-14
18 °c,17 °c,15 °c,19 °c,21 °c,22 °c,20 °c,19 °c,2022-10-15
17 °c,17 °c,17 °c,19 °c,20 °c,21 °c,20 °c,19 °c,2022-10-16
19 °c,17 °c,17 °c,19 °c,20 °c,20 °c,19 °c,15 °c,2022-10-17
14 °c,12 °c,11 °c,15 °c,17 °c,19 °c,15 °c,13 °c,2022-10-18
12 °c,11 °c,11 °c,16 °c,19 °c,20 °c,16 °c,14 °c,2022-10-19
12 °c,12 °c,12 °c,17 °c,20 °c,23 °c,19 °c,16 °c,2022-10-20
15 °c,14 °c,12 °c,20 °c,25 °c,27 °c,21 °c,19 °c,2022-10-21
18 °c,17 °c,16 °c,20 °c,25 °c,26 °c,22 °c,20 °c,2022-10-22
19 °c,19 °c,17 °c,20 °c,21 °c,23 °c,20 °c,16 °c,2022-10-23
15 °c,14 °c,12 °c,18 °c,19 °c,20 °c,17 °c,16 °c,2022-10-24
15 °c,14 °c,14 °c,18 °c,19 °c,21 °c,18 °c,15 °c,2022-10-25
