00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00,Date
14 °c,13 °c,13 °c,18 °c,19 °c,20 °c,19 °c,18 °c,2022-10-26
16 °c,16 °c,16 °c,16 °c,17 °c,17 °c,17 °c,17 °c,2022-10-27
17 °c,16 °c,16 °c,16 °c,17 °c,17 °c,17 °c,16 °c,2022-10-28
16 °c,15 °c,15 °c,16 °c,18 °c,18 °c,16 °c,16 °c,2022-10-29
15 °c,14 °c,14 °c,18 °c,20 °c,22 °c,18 °c,17 °c,2022-10-30
15 °c,15 °c,15 °c,18 °c,19 °c,20 °c,19 °c,17 °c,2022-10-31
16 °c,15 °c,15 °c,18 °c,19 °c,20 °c,18 °c,16 °c,2022-11-01
15 °c,15 °c,14 °c,16 °c,19 °c,20 °c,17 °c,14 °c,2022-11-02
14 °c,13 °c,14 °c,17 °c,19 °c,19 °c,17 °c,16 °c,2022-11-03
15 °c,15 °c,14 °c,16 °c,16 °c,17 °c,16 °c,15 °c,2022-11-04
12 °c,12 °c,11 °c,15 °c,16 °c,17 °c,15 °c,14 °c,2022-11-05
12 °c,12 °c,12 °c,15 °c,17 °c,19 °c,17 °c,15 °c,2022-11-06
13 °c,11 °c,11 °c,17 °c,21 °c,24 °c,20 °c,16 °c,2022-11-07
15 °c,14 °c,14 °c,18 °c,21 °c,24 °c,20 °c,17 °c,2022-11-08
16 °c,15 °c,14 °c,19 °c,23 °c,26 °c,22 °c,19 °c,2022-11-09
17 °c,17 °c,16 °c,22 °c,25 °c,28 °c,22 °c,20 °c,2022-11-10
18 °c,17 °c,17 °c,22 °c,24 °c,27 °c,23 °c,21 °c,2022-11-11
20 °c,19 °c,16 °c,16 °c,15 °c,15 °c,15 °c,14 °c,2022-11-13
14 °c,14 °c,13 °c,13 °c,13 °c,14 °c,13 °c,12 °c,2022-11-14
12 °c,12 °c,11 °c,13 °c,14 °c,15 °c,13 °c,12 °c,2022-11-15
11 °c,11 °c,11 °c,14 °c,16 °c,15 °c,14 °c,13 °c,2022-11-16
13 °c,13 °c,13 °c,14 °c,16 °c,16 °c,15 °c,15 °c,2022-11-17
15 °c,15 °c,15 °c,17 °c,18 °c,17 °c,17 °c,16 °c,2022-11-18
16 °c,16 °c,16 °c,17 °c,18 °c,19 °c,18 °c,17 °c,2022-11-19
17 °c,16 °c,16 °c,17 °c,19 °c,20 °c,18 °c,16 °c,2022-11-20
15 °c,14 °c,13 °c,16 °c,21 °c,22 °c,19 °c,17 °c,2022-11-21
16 °c,15 °c,15 °c,16 °c,20 °c,19 °c,18 °c,17 °c,2022-11-22
16 °c,15 °c,15 °c,16 °c,17 °c,18 °c,16 °c,15 °c,2022-11-23
14 °c,13 °c,15 °c,15 °c,17 °c,18 °c,16 °c,15 °c,2022-11-24
16 °c,16 °c,14 °c,18 °c,18 °c,20 °c,18 °c,17 °c,2022-11-25
17 °c,17 °c,17 °c,18 °c,20 °c,21 °c,19 °c,16 °c,2022-11-26
15 °c,14 °c,14 °c,17 °c,19 °c,20 °c,18 °c,17 °c,2022-11-27
16 °c,16 °c,16 °c,18 °c,21 °c,21 °c,20 °c,19 °c,2022-11-28
18 °c,15 °c,14 °c,14 °c,13 °c,13 °c,12 °c,10 °c,2022-11-29
8 °c,6 °c,4 °c,3 °c,2 °c,2 °c,1 °c,1 °c,2022-11-30
2 °c,2 °c,2 °c,3 °c,3 °c,3 °c,3 °c,2 °c,2022-12-01
3 °c,2 °c,2 °c,2 °c,3 °c,3 °c,4 °c,3 °c,2022-12-02
3 °c,3 °c,4 °c,5 °c,6 °c,7 °c,6 °c,6 °c,2022-12-03
6 °c,6 °c,6 °c,7 °c,8 °c,9 °c,10 °c,9 °c,2022-12-04
8 °c,8 °c,7 °c,8 °c,8 °c,8 °c,8 °c,8 °c,2022-12-05
6 °c,5 °c,5 °c,8 °c,10 °c,10 °c,10 °c,9 °c,2022-12-06
8 °c,9 °c,8 °c,9 °c,11 °c,11 °c,9 °c,9 °c,2022-12-07
10 °c,10 °c,10 °c,10 °c,11 °c,12 °c,11 °c,11 °c,2022-12-08
12 °c,12 °c,11 °c,12 °c,12 °c,12 °c,12 °c,11 °c,2022-12-09
11 °c,11 °c,11 °c,11 °c,12 °c,13 °c,12 °c,11 °c,2022-12-10
10 °c,10 °c,8 °c,8 °c,10 °c,10 °c,10 °c,10 °c,2022-12-11
8 °c,8 °c,7 °c,7 °c,10 °c,11 °c,9 °c,6 °c,2022-12-12
5 °c,4 °c,5 °c,8 °c,10 °c,12 °c,10 °c,8 °c,2022-12-13
7 °c,6 °c,5 °c,6 °c,8 °c,9 °c,6 °c,4 °c,2022-12-14
3 °c,3 °c,1 °c,7 °c,10 °c,13 °c,10 °c,8 °c,2022-12-15
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2022-12-16
5 °c,4 °c,3 °c,4 °c,6 °c,7 °c,4 °c,2 °c,2022-12-17
0 °c,0 °c,,2 °c,5 °c,6 °c,5 °c,1 °c,2022-12-18
,,,4 °c,9 °c,11 °c,7 °c,3 °c,2022-12-19
1 °c,0 °c,0 °c,5 °c,10 °c,15 °c,12 °c,9 °c,2022-12-20
7 °c,7 °c,6 °c,9 °c,12 °c,14 °c,9 °c,6 °c,2022-12-21
4 °c,5 °c,5 °c,7 °c,8 °c,8 °c,6 °c,3 °c,2022-12-22
1 °c,1 °c,,3 °c,5 °c,7 °c,4 °c,2 °c,2022-12-23
2 °c,0 °c,0 °c,3 °c,7 °c,8 °c,4 °c,1 °c,2022-12-24
0 °c,0 °c,,2 °c,6 °c,7 °c,5 °c,2 °c,2022-12-25
2 °c,2 °c,2 °c,4 °c,7 °c,8 °c,7 °c,4 °c,2022-12-26
4 °c,2 °c,2 °c,5 °c,7 °c,9 °c,8 °c,5 °c,2022-12-27
5 °c,5 °c,5 °c,6 °c,7 °c,7 °c,6 °c,5 °c,2022-12-28
4 °c,4 °c,4 °c,5 °c,6 °c,7 °c,7 °c,5 °c,2022-12-30
3 °c,3 °c,2 °c,5 °c,10 °c,11 °c,7 °c,4 °c,2022-12-31
4 °c,2 °c,4 °c,5 °c,10 °c,11 °c,9 °c,8 °c,2023-01-01
7 °c,6 °c,6 °c,7 °c,9 °c,8 °c,8 °c,7 °c,2023-01-02
7 °c,6 °c,5 °c,6 °c,10 °c,10 °c,8 °c,5 °c,2023-01-03
4 °c,3 °c,2 °c,7 °c,11 °c,13 °c,9 °c,8 °c,2023-01-04
8 °c,8 °c,8 °c,10 °c,12 °c,14 °c,12 °c,10 °c,2023-01-05
10 °c,8 °c,7 °c,11 °c,15 °c,18 °c,14 °c,10 °c,2023-01-06
9 °c,9 °c,8 °c,11 °c,16 °c,17 °c,13 °c,8 °c,2023-01-07
6 °c,5 °c,4 °c,9 °c,18 °c,20 °c,14 °c,9 °c,2023-01-08
7 °c,6 °c,6 °c,12 °c,19 °c,19 °c,15 °c,10 °c,2023-01-09
8 °c,7 °c,7 °c,10 °c,17 °c,19 °c,15 °c,12 °c,2023-01-11
11 °c,11 °c,9 °c,14 °c,21 °c,23 °c,20 °c,18 °c,2023-01-12
16 °c,16 °c,15 °c,16 °c,20 °c,19 °c,18 °c,16 °c,2023-01-13
15 °c,14 °c,14 °c,13 °c,12 °c,10 °c,8 °c,6 °c,2023-01-14
4 °c,3 °c,2 °c,1 °c,1 °c,0 °c,0 °c,1 °c,2023-01-15
0 °c,1 °c,0 °c,0 °c,4 °c,5 °c,3 °c,1 °c,2023-01-16
2 °c,2 °c,0 °c,4 °c,6 °c,7 °c,6 °c,4 °c,2023-01-17
3 °c,3 °c,2 °c,5 °c,9 °c,9 °c,7 °c,4 °c,2023-01-18
4 °c,3 °c,1 °c,5 °c,10 °c,12 °c,10 °c,7 °c,2023-01-19
6 °c,5 °c,4 °c,7 °c,11 °c,10 °c,8 °c,5 °c,2023-01-20
6 °c,5 °c,5 °c,5 °c,9 °c,11 °c,8 °c,8 °c,2023-01-21
9 °c,7 °c,8 °c,9 °c,9 °c,9 °c,9 °c,8 °c,2023-01-22
7 °c,7 °c,7 °c,7 °c,7 °c,7 °c,7 °c,6 °c,2023-01-23
5 °c,4 °c,2 °c,1 °c,2 °c,3 °c,1 °c,,2023-01-24
,,,,3 °c,5 °c,3 °c,,2023-01-25
0 °c,0 °c,0 °c,3 °c,9 °c,10 °c,7 °c,5 °c,2023-01-26
4 °c,2 °c,0 °c,2 °c,5 °c,6 °c,4 °c,1 °c,2023-01-27
,0 °c,,2 °c,5 °c,7 °c,5 °c,2 °c,2023-01-28
,,,4 °c,10 °c,12 °c,10 °c,5 °c,2023-01-29
2 °c,0 °c,0 °c,6 °c,13 °c,13 °c,10 °c,5 °c,2023-01-30
2 °c,2 °c,1 °c,8 °c,15 °c,18 °c,15 °c,10 °c,2023-01-31
7 °c,5 °c,6 °c,10 °c,13 °c,13 °c,8 °c,5 °c,2023-02-01
6 °c,5 °c,5 °c,5 °c,7 °c,8 °c,7 °c,5 °c,2023-02-02
6 °c,5 °c,5 °c,5 °c,8 °c,9 °c,7 °c,7 °c,2023-02-03
6 °c,6 °c,6 °c,7 °c,9 °c,9 °c,8 °c,7 °c,2023-02-04
6 °c,6 °c,6 °c,7 °c,8 °c,10 °c,9 °c,8 °c,2023-02-05
9 °c,9 °c,9 °c,9 °c,11 °c,11 °c,10 °c,10 °c,2023-02-06
10 °c,10 °c,9 °c,9 °c,10 °c,9 °c,9 °c,8 °c,2023-02-07
8 °c,7 °c,7 °c,8 °c,9 °c,8 °c,8 °c,7 °c,2023-02-08
7 °c,7 °c,7 °c,8 °c,10 °c,8 °c,8 °c,8 °c,2023-02-09
8 °c,8 °c,8 °c,8 °c,8 °c,8 °c,8 °c,8 °c,2023-02-10
8 °c,8 °c,8 °c,9 °c,11 °c,12 °c,11 °c,10 °c,2023-02-11
9 °c,9 °c,10 °c,12 °c,15 °c,16 °c,13 °c,12 °c,2023-02-12
11 °c,11 °c,9 °c,8 °c,8 °c,7 °c,7 °c,4 °c,2023-02-13
3 °c,3 °c,3 °c,4 °c,6 °c,8 °c,6 °c,5 °c,2023-02-14
4 °c,2 °c,2 °c,4 °c,8 °c,10 °c,8 °c,4 °c,2023-02-15
2 °c,3 °c,2 °c,5 °c,10 °c,13 °c,9 °c,6 °c,2023-02-16
5 °c,5 °c,4 °c,9 °c,16 °c,18 °c,13 °c,10 °c,2023-02-17
9 °c,8 °c,7 °c,12 °c,21 °c,23 °c,17 °c,15 °c,2023-02-18
12 °c,11 °c,10 °c,12 °c,13 °c,14 °c,11 °c,9 °c,2023-02-19
6 °c,4 °c,4 °c,7 °c,11 °c,11 °c,9 °c,6 °c,2023-02-20
4 °c,4 °c,5 °c,6 °c,9 °c,9 °c,7 °c,4 °c,2023-02-21
4 °c,3 °c,3 °c,7 °c,10 °c,13 °c,8 °c,7 °c,2023-02-22
7 °c,6 °c,6 °c,8 °c,8 °c,8 °c,7 °c,7 °c,2023-02-23
8 °c,7 °c,6 °c,6 °c,6 °c,8 °c,8 °c,7 °c,2023-02-24
5 °c,3 °c,4 °c,6 °c,9 °c,11 °c,8 °c,5 °c,2023-02-25
4 °c,1 °c,0 °c,5 °c,8 °c,10 °c,7 °c,4 °c,2023-02-26
3 °c,1 °c,1 °c,6 °c,14 °c,17 °c,12 °c,8 °c,2023-02-27
6 °c,5 °c,5 °c,11 °c,18 °c,20 °c,14 °c,12 °c,2023-02-28
11 °c,11 °c,10 °c,10 °c,11 °c,15 °c,13 °c,11 °c,2023-03-01
8 °c,7 °c,5 °c,9 °c,13 °c,15 °c,10 °c,7 °c,2023-03-02
5 °c,4 °c,4 °c,9 °c,15 °c,15 °c,11 °c,11 °c,2023-03-03
8 °c,7 °c,6 °c,12 °c,19 °c,19 °c,16 °c,11 °c,2023-03-04
10 °c,9 °c,8 °c,15 °c,21 °c,22 °c,18 °c,13 °c,2023-03-05
12 °c,10 °c,9 °c,16 °c,25 °c,25 °c,18 °c,15 °c,2023-03-06
13 °c,12 °c,11 °c,17 °c,24 °c,25 °c,19 °c,16 °c,2023-03-07
15 °c,13 °c,13 °c,18 °c,24 °c,25 °c,21 °c,18 °c,2023-03-08
17 °c,15 °c,13 °c,19 °c,25 °c,29 °c,22 °c,18 °c,2023-03-09
16 °c,15 °c,14 °c,21 °c,30 °c,31 °c,22 °c,20 °c,2023-03-10
17 °c,15 °c,14 °c,19 °c,22 °c,23 °c,19 °c,17 °c,2023-03-11
18 °c,17 °c,13 °c,13 °c,16 °c,17 °c,13 °c,9 °c,2023-03-12
8 °c,6 °c,5 °c,10 °c,17 °c,18 °c,17 °c,11 °c,2023-03-13
8 °c,7 °c,6 °c,14 °c,21 °c,27 °c,21 °c,15 °c,2023-03-14
12 °c,11 °c,10 °c,17 °c,25 °c,26 °c,20 °c,14 °c,2023-03-15
11 °c,11 °c,10 °c,11 °c,14 °c,17 °c,15 °c,11 °c,2023-03-16
10 °c,10 °c,10 °c,10 °c,10 °c,9 °c,9 °c,9 °c,2023-03-17
8 °c,8 °c,8 °c,9 °c,11 °c,14 °c,12 °c,10 °c,2023-03-18
9 °c,9 °c,9 °c,10 °c,10 °c,10 °c,9 °c,8 °c,2023-03-19
9 °c,9 °c,9 °c,10 °c,12 °c,16 °c,13 °c,12 °c,2023-03-20
14 °c,14 °c,14 °c,15 °c,18 °c,24 °c,17 °c,16 °c,2023-03-21
16 °c,16 °c,16 °c,18 °c,17 °c,15 °c,15 °c,15 °c,2023-03-22
15 °c,14 °c,14 °c,14 °c,13 °c,13 °c,12 °c,11 °c,2023-03-23
9 °c,8 °c,8 °c,8 °c,8 °c,8 °c,8 °c,7 °c,2023-03-24
7 °c,7 °c,6 °c,7 °c,7 °c,9 °c,8 °c,8 °c,2023-03-25
7 °c,7 °c,7 °c,8 °c,12 °c,15 °c,14 °c,9 °c,2023-03-26
8 °c,7 °c,7 °c,12 °c,15 °c,15 °c,12 °c,10 °c,2023-03-27
11 °c,9 °c,8 °c,14 °c,20 °c,21 °c,15 °c,12 °c,2023-03-28
11 °c,11 °c,11 °c,12 °c,13 °c,14 °c,12 °c,11 °c,2023-03-29
11 °c,11 °c,11 °c,11 °c,12 °c,13 °c,12 °c,12 °c,2023-03-30
10 °c,10 °c,10 °c,13 °c,18 °c,16 °c,15 °c,14 °c,2023-03-31
12 °c,12 °c,12 °c,14 °c,15 °c,16 °c,16 °c,13 °c,2023-04-01
12 °c,11 °c,11 °c,17 °c,21 °c,25 °c,20 °c,15 °c,2023-04-02
13 °c,12 °c,11 °c,18 °c,23 °c,25 °c,19 °c,17 °c,2023-04-03
17 °c,17 °c,18 °c,21 °c,28 °c,28 °c,22 °c,20 °c,2023-04-04
18 °c,15 °c,13 °c,13 °c,12 °c,12 °c,12 °c,12 °c,2023-04-05
11 °c,11 °c,10 °c,11 °c,11 °c,11 °c,11 °c,10 °c,2023-04-06
11 °c,11 °c,9 °c,15 °c,22 °c,20 °c,16 °c,13 °c,2023-04-07
11 °c,10 °c,9 °c,15 °c,18 °c,19 °c,16 °c,12 °c,2023-04-08
10 °c,8 °c,8 °c,16 °c,23 °c,23 °c,20 °c,15 °c,2023-04-09
13 °c,11 °c,11 °c,19 °c,26 °c,27 °c,23 °c,19 °c,2023-04-10
17 °c,16 °c,16 °c,18 °c,23 °c,22 °c,19 °c,19 °c,2023-04-11
15 °c,13 °c,12 °c,13 °c,18 °c,20 °c,14 °c,12 °c,2023-04-12
14 °c,14 °c,14 °c,17 °c,23 °c,24 °c,21 °c,19 °c,2023-04-13
19 °c,18 °c,18 °c,22 °c,26 °c,28 °c,24 °c,17 °c,2023-04-14
17 °c,16 °c,14 °c,18 °c,23 °c,24 °c,21 °c,17 °c,2023-04-15
17 °c,16 °c,16 °c,22 °c,28 °c,27 °c,20 °c,16 °c,2023-04-16
21 °c,19 °c,18 °c,26 °c,35 °c,35 °c,27 °c,21 °c,2023-04-18
23 °c,21 °c,20 °c,22 °c,24 °c,22 °c,21 °c,21 °c,2023-04-19
19 °c,18 °c,17 °c,17 °c,19 °c,22 °c,21 °c,19 °c,2023-04-20
17 °c,16 °c,16 °c,16 °c,20 °c,22 °c,21 °c,14 °c,2023-04-21
12 °c,12 °c,12 °c,15 °c,15 °c,18 °c,15 °c,15 °c,2023-04-22
15 °c,15 °c,14 °c,14 °c,15 °c,14 °c,14 °c,13 °c,2023-04-23
13 °c,12 °c,12 °c,12 °c,14 °c,14 °c,13 °c,13 °c,2023-04-24
13 °c,13 °c,12 °c,12 °c,13 °c,13 °c,12 °c,12 °c,2023-04-25
11 °c,11 °c,11 °c,16 °c,20 °c,22 °c,19 °c,15 °c,2023-04-26
13 °c,12 °c,12 °c,19 °c,24 °c,28 °c,23 °c,18 °c,2023-04-27
17 °c,15 °c,15 °c,22 °c,27 °c,28 °c,21 °c,19 °c,2023-04-28
19 °c,19 °c,18 °c,17 °c,18 °c,19 °c,19 °c,16 °c,2023-04-29
13 °c,12 °c,12 °c,18 °c,24 °c,26 °c,23 °c,16 °c,2023-04-30
14 °c,13 °c,13 °c,22 °c,29 °c,30 °c,24 °c,16 °c,2023-05-01
15 °c,13 °c,12 °c,21 °c,29 °c,28 °c,24 °c,20 °c,2023-05-02
19 °c,18 °c,18 °c,26 °c,32 °c,31 °c,26 °c,23 °c,2023-05-03
22 °c,21 °c,21 °c,25 °c,30 °c,31 °c,28 °c,25 °c,2023-05-04
24 °c,23 °c,22 °c,21 °c,23 °c,23 °c,22 °c,20 °c,2023-05-05
21 °c,20 °c,19 °c,20 °c,19 °c,18 °c,18 °c,17 °c,2023-05-06
16 °c,16 °c,16 °c,16 °c,18 °c,17 °c,16 °c,15 °c,2023-05-07
15 °c,14 °c,14 °c,15 °c,19 °c,21 °c,19 °c,14 °c,2023-05-08
12 °c,12 °c,12 °c,18 °c,22 °c,25 °c,21 °c,15 °c,2023-05-09
13 °c,12 °c,12 °c,20 °c,24 °c,25 °c,19 °c,18 °c,2023-05-10
17 °c,16 °c,16 °c,16 °c,18 °c,19 °c,18 °c,16 °c,2023-05-11
15 °c,15 °c,15 °c,17 °c,20 °c,22 °c,20 °c,17 °c,2023-05-12
17 °c,16 °c,16 °c,22 °c,26 °c,27 °c,23 °c,20 °c,2023-05-13
19 °c,18 °c,18 °c,22 °c,30 °c,30 °c,27 °c,20 °c,2023-05-14
19 °c,18 °c,18 °c,26 °c,34 °c,35 °c,29 °c,24 °c,2023-05-15
21 °c,20 °c,20 °c,26 °c,33 °c,32 °c,25 °c,23 °c,2023-05-16
22 °c,19 °c,19 °c,20 °c,20 °c,20 °c,21 °c,20 °c,2023-05-17
20 °c,21 °c,21 °c,22 °c,22 °c,23 °c,22 °c,20 °c,2023-05-18
18 °c,18 °c,18 °c,20 °c,24 °c,28 °c,23 °c,19 °c,2023-05-19
19 °c,19 °c,20 °c,25 °c,32 °c,33 °c,27 °c,23 °c,2023-05-20
21 °c,20 °c,21 °c,27 °c,32 °c,29 °c,24 °c,23 °c,2023-05-21
21 °c,21 °c,20 °c,19 °c,18 °c,18 °c,17 °c,16 °c,2023-05-22
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2023-05-23
16 °c,15 °c,16 °c,15 °c,17 °c,17 °c,18 °c,16 °c,2023-05-24
15 °c,15 °c,15 °c,22 °c,30 °c,31 °c,24 °c,21 °c,2023-05-25
20 °c,19 °c,20 °c,26 °c,32 °c,31 °c,26 °c,24 °c,2023-05-26
23 °c,23 °c,23 °c,26 °c,27 °c,26 °c,26 °c,23 °c,2023-05-27
23 °c,22 °c,22 °c,28 °c,34 °c,35 °c,30 °c,26 °c,2023-05-28
25 °c,24 °c,24 °c,31 °c,36 °c,35 °c,30 °c,26 °c,2023-05-29
24 °c,23 °c,23 °c,23 °c,26 °c,28 °c,26 °c,24 °c,2023-05-30
25 °c,23 °c,23 °c,23 °c,26 °c,29 °c,26 °c,23 °c,2023-05-31
21 °c,22 °c,22 °c,25 °c,28 °c,29 °c,27 °c,23 °c,2023-06-01
23 °c,22 °c,23 °c,28 °c,35 °c,33 °c,30 °c,25 °c,2023-06-02
24 °c,23 °c,23 °c,26 °c,25 °c,28 °c,25 °c,21 °c,2023-06-03
21 °c,20 °c,21 °c,28 °c,33 °c,29 °c,27 °c,25 °c,2023-06-04
23 °c,22 °c,23 °c,27 °c,29 °c,24 °c,22 °c,21 °c,2023-06-05
21 °c,21 °c,20 °c,20 °c,20 °c,20 °c,22 °c,20 °c,2023-06-06
21 °c,21 °c,21 °c,26 °c,31 °c,31 °c,27 °c,24 °c,2023-06-07
23 °c,22 °c,22 °c,21 °c,21 °c,27 °c,28 °c,20 °c,2023-06-08
22 °c,21 °c,22 °c,28 °c,36 °c,36 °c,29 °c,25 °c,2023-06-09
25 °c,23 °c,23 °c,29 °c,37 °c,37 °c,31 °c,27 °c,2023-06-10
25 °c,24 °c,24 °c,30 °c,36 °c,36 °c,31 °c,24 °c,2023-06-11
23 °c,22 °c,22 °c,23 °c,25 °c,24 °c,22 °c,22 °c,2023-06-13
20 °c,19 °c,19 °c,24 °c,31 °c,32 °c,27 °c,22 °c,2023-06-14
22 °c,21 °c,22 °c,27 °c,36 °c,35 °c,30 °c,24 °c,2023-06-15
22 °c,21 °c,22 °c,26 °c,29 °c,25 °c,24 °c,22 °c,2023-06-16
19 °c,19 °c,19 °c,21 °c,26 °c,29 °c,26 °c,23 °c,2023-06-17
23 °c,23 °c,23 °c,24 °c,25 °c,26 °c,25 °c,25 °c,2023-06-18
24 °c,23 °c,24 °c,25 °c,27 °c,28 °c,26 °c,25 °c,2023-06-19
24 °c,24 °c,24 °c,26 °c,28 °c,27 °c,26 °c,24 °c,2023-06-20
24 °c,23 °c,24 °c,28 °c,31 °c,31 °c,29 °c,26 °c,2023-06-21
23 °c,22 °c,23 °c,25 °c,26 °c,26 °c,24 °c,22 °c,2023-06-22
22 °c,21 °c,20 °c,22 °c,22 °c,23 °c,21 °c,19 °c,2023-06-23
19 °c,19 °c,20 °c,20 °c,21 °c,21 °c,21 °c,21 °c,2023-06-24
22 °c,22 °c,22 °c,23 °c,24 °c,24 °c,23 °c,23 °c,2023-06-25
24 °c,24 °c,24 °c,24 °c,28 °c,31 °c,27 °c,25 °c,2023-06-26
25 °c,24 °c,24 °c,24 °c,26 °c,30 °c,27 °c,24 °c,2023-06-27
24 °c,24 °c,24 °c,30 °c,37 °c,38 °c,34 °c,29 °c,2023-06-28
